Epoch,LR,Train Loss,Global Val Acc,AffectNet Acc,CKplusIm Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,KDEFFormated Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
1,1e-06,2.2177,16.43,17.22,23.08,10.50,17.26,19.43,16.75,16.25,18.75,17.11,23.53
2,0.00020080000000000003,2.1059,14.96,16.56,19.23,9.80,9.54,17.80,16.27,16.36,12.71,16.86,17.65
3,0.0004006000000000001,1.8708,16.12,20.58,3.85,13.42,0.82,18.33,16.51,19.18,15.21,19.42,17.65
4,0.0006004000000000002,1.5450,15.87,20.67,7.69,14.23,0.04,16.79,16.51,19.21,15.42,20.33,17.65
5,0.0008002000000000002,1.4192,15.87,20.67,7.69,14.23,0.04,16.79,16.51,19.21,15.42,20.33,17.65
6,0.001,1.3653,15.87,20.67,7.69,14.23,0.04,16.79,16.51,19.21,15.42,20.33,17.65
7,0.0009998914383200486,1.3372,15.87,20.67,7.69,14.23,0.04,16.79,16.51,19.21,15.42,20.33,17.65
8,0.0009995658008989348,1.3066,16.31,22.31,7.69,15.04,1.21,16.79,16.51,19.34,15.42,20.33,17.65
9,0.0009990232305719944,1.2792,26.90,34.84,61.54,37.30,23.72,18.99,16.51,28.19,17.29,23.14,23.53
10,0.0009982639653285047,1.2619,43.24,42.36,80.77,59.25,45.66,33.98,17.46,44.17,35.83,39.67,35.29
11,0.0009972883382072953,1.2438,53.67,47.54,80.77,66.24,53.91,51.00,25.60,53.30,49.17,53.55,52.94
12,0.0009960967771506667,1.2310,59.22,52.06,84.62,68.26,57.59,61.24,34.45,57.69,55.62,60.91,52.94
13,0.0009946898048166792,1.2150,61.80,55.11,84.62,68.96,59.31,65.93,37.56,59.55,57.92,65.54,52.94
14,0.0009930680383499,1.2151,61.43,56.04,88.46,66.01,57.70,66.43,39.00,59.51,57.50,66.03,52.94
15,0.000991232189110701,1.2080,59.94,55.11,88.46,63.04,54.59,65.40,37.80,58.50,57.29,65.45,52.94
16,0.0009891830623632338,1.2006,56.34,53.08,88.46,58.29,49.52,61.06,34.93,55.72,56.67,61.57,52.94
17,0.0009869215569222143,1.1993,52.74,50.77,88.46,54.81,44.30,56.13,30.38,52.86,55.83,58.93,52.94
18,0.0009844486647586723,1.1815,49.23,47.76,84.62,51.92,40.62,51.21,28.23,49.83,52.50,55.70,47.06
19,0.0009817654705648407,1.1879,44.59,44.89,80.77,47.04,35.80,44.47,25.12,46.06,48.54,51.74,41.18
20,0.0009788731512783732,1.1893,39.82,42.10,80.77,42.07,30.73,38.19,22.49,42.04,42.71,45.70,41.18
21,0.0009757729755661011,1.1786,35.63,39.71,80.77,38.00,26.30,33.39,21.05,37.82,38.75,40.33,29.41
22,0.0009724663032675533,1.1777,32.20,38.03,80.77,34.61,22.08,29.87,19.86,34.13,35.00,36.78,29.41
23,0.0009689545847984864,1.1736,29.07,35.59,76.92,31.07,17.86,27.01,18.66,31.21,30.83,33.06,29.41
24,0.0009652393605146844,1.1699,27.51,34.53,65.38,29.72,16.54,25.50,18.18,29.47,28.54,30.66,29.41
25,0.0009613222600363078,1.1625,26.95,34.40,65.38,28.85,16.26,24.79,18.18,28.88,28.33,30.08,29.41
26,0.0009572050015330874,1.1639,28.10,34.97,65.38,30.31,17.36,25.62,19.14,30.18,29.38,32.07,29.41
27,0.0009528893909706797,1.1682,30.04,36.48,69.23,33.34,19.61,27.22,19.86,32.04,30.83,33.55,29.41
28,0.0009483773213185094,1.1643,32.93,38.34,73.08,38.03,24.40,29.18,21.53,34.48,34.17,36.61,29.41
29,0.0009436707717194512,1.1706,36.40,40.06,76.92,43.73,29.55,31.63,23.21,37.84,36.67,39.34,29.41
30,0.0009387718066217125,1.1585,41.01,42.19,76.92,51.02,36.66,34.73,26.08,42.30,39.79,44.13,41.18
31,0.0009336825748732971,1.1545,45.24,44.09,76.92,57.40,42.98,38.02,28.47,46.38,42.92,48.26,41.18
32,0.0009284053087794509,1.1562,49.22,46.39,80.77,63.71,49.16,41.32,30.14,49.76,45.42,52.31,41.18
33,0.0009229423231234975,1.1468,54.24,48.56,80.77,70.53,57.41,45.89,30.62,54.28,49.58,57.52,47.06
34,0.0009172960141514993,1.1470,57.55,50.42,80.77,72.89,60.81,50.07,32.06,57.75,52.29,61.98,52.94
35,0.0009114688585211835,1.1460,60.10,52.32,80.77,73.11,62.70,55.07,35.65,59.73,56.04,66.03,52.94
36,0.000905463412215599,1.1472,63.10,55.20,80.77,75.11,65.20,60.24,39.47,61.83,58.33,69.83,52.94
37,0.0008992823094219771,1.1531,65.96,58.74,80.77,76.51,67.24,65.59,43.30,63.67,59.58,73.64,52.94
38,0.0008929282613762907,1.1475,68.30,61.18,80.77,76.79,69.20,70.59,47.85,65.07,61.46,76.61,52.94
39,0.0008864040551740157,1.1379,70.10,63.52,80.77,76.96,70.42,75.09,50.00,65.81,63.12,78.68,52.94
40,0.0008797125525476195,1.1416,71.90,65.12,80.77,77.46,71.88,78.88,54.55,67.03,64.58,79.50,52.94
41,0.0008728566886113103,1.1460,73.79,66.89,80.77,78.19,73.35,82.73,59.81,68.31,65.83,80.41,52.94
42,0.0008658394705735987,1.1464,75.24,68.61,80.77,78.56,74.42,85.33,63.40,69.40,66.25,82.31,58.82
43,0.0008586639764182377,1.1208,76.15,69.28,80.77,78.78,75.21,87.13,68.90,69.98,67.29,82.73,58.82
44,0.000851333353554116,1.1414,77.16,69.99,80.77,79.34,75.88,88.83,75.84,70.74,67.71,83.06,58.82
45,0.0008438508174347009,1.1362,77.85,71.18,88.46,79.51,76.13,89.67,79.19,71.40,68.12,84.13,58.82
46,0.0008362196501476349,1.1364,78.39,71.67,88.46,79.82,76.46,90.47,81.58,71.79,69.17,84.88,58.82
47,0.0008284431989751023,1.1295,78.96,72.02,88.46,80.38,76.71,90.97,83.25,72.45,70.62,85.45,64.71
48,0.0008205248749256015,1.1200,79.38,72.55,88.46,80.47,76.99,91.66,83.73,72.89,71.04,85.54,64.71
49,0.0008124681512377637,1.1278,79.72,73.31,88.46,80.61,76.88,92.03,84.21,73.30,71.46,85.95,64.71
50,0.0008042765618568756,1.1257,80.01,73.09,88.46,80.77,77.28,92.34,85.17,73.70,71.88,86.20,76.47
51,0.0007959536998847742,1.1162,80.26,73.17,88.46,80.72,77.42,92.64,84.93,74.11,72.08,86.61,76.47
52,0.0007875032160037938,1.1209,80.51,73.04,88.46,80.66,77.92,92.98,86.36,74.39,72.29,86.78,82.35
