Epoch,LR,Train Loss,Global Val Acc,AffectNet Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
1,1e-06,2.2194,16.24,17.26,10.30,17.01,19.19,15.98,18.33,17.36,23.53
2,0.00020080000000000003,2.1091,14.25,16.11,8.76,10.04,17.57,15.17,12.50,15.45,5.88
3,0.0004006000000000001,1.8054,13.34,17.84,0.03,20.97,16.80,12.76,16.04,13.31,17.65
4,0.0006004000000000002,1.4883,8.44,13.77,0.03,3.29,16.47,7.25,12.08,4.71,17.65
5,0.0008002000000000002,1.4074,15.93,20.67,14.23,0.04,17.09,19.18,15.62,20.41,17.65
6,0.001,1.3627,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
7,0.0009999932146624762,1.3266,16.21,21.12,15.02,0.86,16.79,19.48,15.42,20.41,17.65
8,0.0009999728588359286,1.3034,20.66,27.18,23.88,10.93,16.87,23.46,15.42,21.16,17.65
9,0.000999938933078422,1.2784,32.45,35.46,44.65,31.23,22.44,34.58,22.92,28.93,17.65
10,0.0009998914383200486,1.2540,46.13,41.12,61.66,47.37,38.16,47.04,38.96,40.41,35.29
11,0.0009998303758629009,1.2395,54.68,45.55,67.36,54.88,52.28,54.16,48.33,51.57,41.18
12,0.0009997557473810372,1.2257,58.07,48.56,69.18,57.81,58.46,56.49,53.96,55.04,41.18
13,0.0009996675549204348,1.2159,61.04,50.73,72.24,61.45,62.22,58.78,55.83,59.34,47.06
14,0.0009995658008989348,1.2114,62.27,51.97,73.65,63.20,63.78,59.57,56.46,60.66,47.06
15,0.0009994504881061753,1.1995,62.12,51.97,74.85,64.17,62.66,59.12,57.08,60.08,47.06
16,0.000999321619703514,1.2074,60.61,50.73,75.02,63.59,59.05,57.99,55.83,57.85,47.06
17,0.000999179199223944,1.1881,58.65,49.62,75.30,62.84,54.80,56.14,54.17,54.46,47.06
18,0.0009990232305719944,1.1887,55.33,47.99,74.04,60.95,48.45,53.21,50.62,50.17,41.18
19,0.0009988537180236246,1.1796,52.86,46.17,74.43,60.31,43.47,50.71,47.71,45.87,41.18
