Epoch,LR,Train Loss,Global Val Acc,AffectNet Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
1,1e-06,2.3855,13.13,16.78,3.14,16.65,17.18,12.56,14.17,12.56,5.88
2,0.0040008,2.3856,16.38,17.22,10.05,16.18,19.27,16.66,18.54,17.44,23.53
3,0.008000599999999998,2.1363,16.69,16.33,12.21,14.36,19.59,17.44,14.58,17.93,11.76
4,0.012000399999999998,2.0437,14.32,17.62,8.17,6.90,17.41,15.89,13.54,18.02,17.65
5,0.0160002,1.9509,15.49,20.27,11.42,1.14,18.14,18.24,15.83,19.67,17.65
6,0.02,1.8625,15.82,20.89,12.94,0.21,17.82,18.79,15.62,20.33,17.65
7,0.019999451967808293,1.8148,14.95,20.41,10.55,0.75,18.03,17.55,12.71,18.68,11.76
8,0.01999780793133108,1.7478,8.27,14.03,0.03,3.29,16.16,7.16,11.88,2.89,17.65
9,0.01999506807085549,1.5108,8.27,14.03,0.03,3.29,16.16,7.16,11.88,2.89,17.65
10,0.01999123268683809,1.2701,8.27,14.03,0.03,3.29,16.16,7.16,11.88,2.89,17.65
11,0.019986302199871964,1.1587,15.99,20.72,14.23,0.04,17.27,19.23,15.62,20.25,17.65
12,0.019980277150640574,1.0970,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
13,0.019973158199858457,1.0613,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
14,0.019964946128198796,1.0373,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
15,0.019955641836207787,1.0089,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
16,0.019945246344205893,0.9922,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
17,0.019933760792175962,0.9822,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
18,0.019921186439638208,0.9503,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
19,0.01990752466551208,0.9540,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
20,0.01989277696796507,0.9616,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
21,0.019876944964248404,0.9485,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
22,0.019860030390519697,0.9643,12.38,14.21,12.12,11.47,16.57,9.96,18.54,7.11,17.65
23,0.019842035101652573,0.9668,12.38,14.21,12.12,11.47,16.57,9.96,18.54,7.11,17.65
24,0.019822961071033245,0.9878,12.38,14.21,12.12,11.47,16.57,9.96,18.54,7.11,17.65
25,0.019802810390344112,0.9960,12.38,14.21,12.12,11.47,16.57,9.96,18.54,7.11,17.65
26,0.01978158526933439,0.9992,12.38,14.21,12.12,11.47,16.57,9.96,18.54,7.11,17.65
27,0.01975928803557778,0.9970,12.38,14.21,12.12,11.47,16.57,9.96,18.54,7.11,17.65
28,0.019735921134217238,1.0176,12.38,14.21,12.12,11.47,16.57,9.96,18.54,7.11,17.65
29,0.019711487127696815,0.9997,12.38,14.21,12.12,11.47,16.57,9.96,18.54,7.11,17.65
30,0.019685988695480668,0.9939,12.38,14.21,12.12,11.47,16.57,9.96,18.54,7.11,17.65
31,0.019659428633759236,1.0118,12.38,14.21,12.12,11.47,16.57,9.96,18.54,7.11,17.65
32,0.019631809855142596,0.9961,12.38,14.21,12.12,11.47,16.57,9.96,18.54,7.11,17.65
33,0.019603135388341048,0.9987,12.38,14.21,12.12,11.47,16.57,9.96,18.54,7.11,17.65
34,0.019573408377833012,0.9877,12.38,14.21,12.12,11.47,16.57,9.96,18.54,7.11,17.65
35,0.019542632083520188,0.9719,12.38,14.21,12.12,11.47,16.57,9.96,18.54,7.11,17.65
36,0.019510809880370062,0.9693,12.38,14.21,12.12,11.47,16.57,9.96,18.54,7.11,17.65
37,0.01947794525804581,0.9625,12.38,14.21,12.12,11.47,16.57,9.96,18.54,7.11,17.65
38,0.019444041820523627,0.9757,12.38,14.21,12.12,11.47,16.57,9.96,18.54,7.11,17.65
