Epoch,LR,Train Loss,Global Val Acc,AffectNet Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
1,1e-06,2.4630,15.98,16.91,9.15,15.97,19.61,15.95,17.92,16.94,23.53
2,0.010000799999999999,2.4569,15.34,16.87,10.16,8.22,18.19,17.25,15.00,17.36,17.65
3,0.0200006,2.0491,12.53,16.87,5.92,2.11,17.66,13.72,13.12,15.45,11.76
4,0.0300004,1.8725,15.92,20.85,13.92,0.14,17.19,19.16,15.42,20.17,17.65
5,0.0400002,1.7706,8.27,14.03,0.03,3.25,16.16,7.17,11.88,2.89,17.65
6,0.05,1.5443,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
7,0.04999862950829098,1.4496,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
8,0.04999451818345377,1.4333,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
9,0.049987666476341466,1.4400,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
10,0.04997807513832097,1.4343,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
11,0.04996574522119057,1.4162,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
12,0.04995067807706465,1.4120,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
13,0.04993287535822533,1.4153,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
14,0.049912339016941365,1.4027,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
15,0.04988907130525399,1.3925,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
16,0.049863074774729996,1.3968,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
17,0.04983435227618191,1.3927,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
18,0.04980290695935538,1.3875,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
19,0.04976874227258374,1.3881,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
20,0.0497318619624099,1.3763,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
21,0.04969227007317547,1.3848,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
22,0.049649970946577276,1.3824,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
23,0.0496049692211912,1.3898,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
24,0.04955726983196358,1.3809,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
25,0.04950687800966994,1.3763,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
26,0.04945379928034148,1.3790,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
27,0.049398039464659,1.3769,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
28,0.049339604677314644,1.3685,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
29,0.04927850132634136,1.3705,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
30,0.04921473611241014,1.3797,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
31,0.04914831602809526,1.3691,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
32,0.04907924835710747,1.3703,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
33,0.04900754067349519,1.3559,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
34,0.04893320084081402,1.3744,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
35,0.04885623701126434,1.3669,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
36,0.04877665762479737,1.3665,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
37,0.048694471408189596,1.3664,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
38,0.048609687374085844,1.3668,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
39,0.04852231482001087,1.3604,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
40,0.048432363327349834,1.3635,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
41,0.048339842760297555,1.3654,15.89,20.67,14.23,0.04,16.86,19.22,15.42,20.33,17.65
42,0.04824476326477684,1.3719,16.49,21.25,14.23,0.25,18.39,19.70,16.04,20.33,17.65
43,0.04814713526732582,1.3522,20.02,25.37,16.81,4.07,22.78,22.80,21.25,23.06,23.53
44,0.04804696947395457,1.3622,27.90,33.07,25.20,14.86,30.67,29.62,28.96,30.83,23.53
45,0.04794427686897111,1.3578,37.40,40.11,36.68,26.83,40.91,37.65,37.29,40.99,23.53
46,0.04783906871377681,1.3585,46.47,47.01,47.74,38.37,51.35,44.78,45.83,49.92,52.94
47,0.04773135654563148,1.3578,53.70,51.22,54.98,47.41,60.92,50.78,51.46,57.44,52.94
48,0.04762115217638816,1.3585,58.82,54.54,60.34,53.84,67.39,54.94,56.46,62.73,52.94
49,0.047508467691197834,1.3560,62.55,57.59,63.71,58.52,72.40,57.77,58.96,67.60,52.94
50,0.04739331544718413,1.3559,65.15,60.34,66.21,62.09,74.77,60.10,61.88,70.91,52.94
51,0.04727570807208826,1.3532,66.78,61.13,67.92,64.59,76.64,61.51,63.33,72.40,52.94
52,0.04715565846288421,1.3490,68.03,61.71,69.49,65.70,77.70,62.86,65.62,74.13,52.94
53,0.04703317978436448,1.3559,69.08,62.64,70.98,67.70,78.41,63.73,65.62,75.37,47.06
54,0.04690828546769637,1.3546,69.91,62.68,71.88,68.99,79.09,64.66,66.04,76.53,47.06
55,0.04678098920894914,1.3580,70.44,63.39,72.35,69.95,79.57,65.07,66.25,77.11,47.06
56,0.046651304967592046,1.3551,70.84,64.32,72.75,70.49,79.84,65.38,66.04,77.52,52.94
57,0.046519246964963575,1.3576,71.20,64.76,72.78,70.95,80.26,65.81,66.67,77.77,47.06
58,0.04638482968271187,1.3491,71.47,64.63,73.03,71.38,80.62,66.09,67.08,77.85,47.06
59,0.046248067861206665,1.3460,71.81,64.94,73.42,71.85,80.80,66.55,67.08,77.93,47.06
60,0.04610897649792287,1.3536,72.04,65.16,73.79,72.20,81.01,66.74,66.88,77.93,47.06
61,0.04596757084579588,1.3654,72.19,65.47,73.95,72.35,81.13,66.82,66.88,78.51,47.06
62,0.04582386641154894,1.3603,72.36,65.60,74.15,72.38,81.24,67.06,67.08,78.76,47.06
63,0.045677878953992675,1.3491,72.40,65.34,74.32,72.78,81.22,66.96,67.71,79.09,47.06
64,0.045529624482296936,1.3542,72.48,65.34,74.43,72.95,81.19,67.08,67.50,79.42,47.06
65,0.04537911925423521,1.3505,72.60,65.29,74.49,73.28,81.21,67.28,68.12,79.34,47.06
66,0.04522637977440182,1.3504,72.66,65.83,74.60,73.35,81.22,67.26,67.71,79.17,47.06
67,0.045071422792401915,1.3573,72.79,65.65,74.74,73.70,81.35,67.43,67.92,79.17,47.06
68,0.04491426530101479,1.3475,72.79,65.65,74.49,73.78,81.45,67.43,67.71,79.42,47.06
69,0.04475492453433038,1.3580,72.84,65.87,74.43,73.74,81.63,67.40,68.12,79.42,47.06
70,0.04459341796585937,1.3496,72.84,65.96,74.24,73.67,81.85,67.39,67.50,79.34,47.06
71,0.04442976330661699,1.3473,72.86,65.96,74.49,73.74,81.76,67.34,67.71,79.50,47.06
72,0.044263978503180854,1.3468,72.91,66.05,74.35,73.74,81.81,67.46,67.71,79.67,47.06
73,0.04409608173572289,1.3514,72.92,66.18,74.26,73.63,81.88,67.54,67.71,79.17,47.06
74,0.04392609141601565,1.3478,72.93,66.31,74.21,73.63,81.93,67.54,67.50,79.09,47.06
75,0.04375402618541334,1.3409,72.95,66.27,74.35,73.60,82.01,67.51,67.50,79.26,47.06
76,0.04357990491280748,1.3423,73.05,66.40,74.32,73.67,82.01,67.67,67.71,79.67,47.06
77,0.04340374669255776,1.3470,73.18,66.49,74.46,73.88,82.27,67.70,67.71,79.67,47.06
78,0.043225570842398184,1.3397,73.31,66.36,74.71,73.88,82.36,67.91,67.92,79.92,47.06
79,0.04304539690131857,1.3370,73.42,66.31,74.96,74.10,82.45,68.01,67.50,80.00,47.06
80,0.04286324462742192,1.3505,73.41,66.40,75.08,74.17,82.41,67.91,67.29,80.08,47.06
81,0.042679133995757755,1.3425,73.46,66.31,75.16,74.53,82.45,67.88,67.50,80.25,47.06
82,0.042493085196131576,1.3427,73.58,66.67,75.25,74.60,82.56,68.03,67.29,80.08,47.06
83,0.04230511863089082,1.3407,73.58,66.67,75.25,74.71,82.52,68.04,66.67,80.25,47.06
84,0.042115254912687576,1.3423,73.61,66.80,75.08,74.49,82.70,68.11,66.67,80.17,47.06
