Epoch,LR,Train Loss,Global Val Acc,AffectNet Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
1,1e-06,2.2118,12.58,15.01,6.43,10.08,17.19,12.54,12.29,10.99,5.88
2,5.0799999999999995e-05,2.0749,8.68,14.17,0.56,3.36,16.13,7.80,12.08,4.96,17.65
3,0.00010059999999999999,1.9252,7.14,11.11,0.03,0.14,16.18,5.28,8.96,7.27,11.76
4,0.0001504,1.7310,8.30,14.12,0.03,3.29,16.16,7.18,11.88,3.22,17.65
5,0.0002002,1.4763,14.63,19.34,13.22,0.00,19.95,14.89,13.33,17.77,17.65
6,0.00025,1.3591,17.62,21.69,14.71,0.57,23.58,18.94,16.88,21.16,17.65
7,0.00024999835506969123,1.2994,37.00,40.15,48.67,36.83,35.53,33.41,28.75,33.14,29.41
8,0.0002499934203238615,1.2717,60.52,52.99,68.71,61.16,63.96,56.45,55.21,64.46,47.06
9,0.00024998519589779927,1.2384,69.47,61.04,73.56,69.42,77.24,64.46,63.33,75.79,52.94
10,0.0002499736820169815,1.2147,73.04,64.54,75.27,72.42,83.37,67.46,67.08,78.18,58.82
11,0.00024995887899706686,1.1949,74.84,66.31,75.95,74.21,86.38,69.04,67.50,80.00,58.82
12,0.0002499407872438878,1.1904,76.06,68.17,76.31,74.96,88.25,70.24,67.50,81.24,58.82
13,0.00024991940725343874,1.1678,77.02,69.68,76.90,75.31,89.35,71.12,68.75,83.47,58.82
14,0.00024989473961186304,1.1654,77.65,70.74,77.74,75.28,89.90,71.81,69.17,84.30,58.82
15,0.00024986678499543645,1.1676,77.98,70.56,78.02,75.17,90.49,72.25,68.75,84.96,64.71
16,0.00024983554417054885,1.1478,78.21,70.43,78.61,75.38,90.93,72.22,69.17,85.54,70.59
17,0.00024980101799368344,1.1361,78.60,70.92,78.84,75.46,91.15,72.82,69.79,86.20,70.59
