Epoch,LR,Train Loss,Global Val Acc,Phase,AffectNet Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
1,1e-06,2.2137,16.47,LDAM,17.26,10.72,17.47,18.99,16.39,18.75,17.52,23.53
2,0.00020080000000000003,2.1074,14.80,LDAM,16.73,9.23,9.15,18.05,16.09,13.54,16.69,17.65
3,0.0004006000000000001,1.8476,13.47,LDAM,15.10,14.48,8.36,16.71,12.52,19.17,8.60,23.53
4,0.0006004000000000002,1.3933,15.87,LDAM,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
5,0.0008002000000000002,1.2471,15.87,LDAM,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
6,0.001,1.1985,15.87,LDAM,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
7,0.000999984733034171,1.1640,15.87,LDAM,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
8,0.000999938933078422,1.1420,15.88,LDAM,20.81,14.23,0.04,16.79,19.21,15.42,20.33,17.65
9,0.0009998626029579104,1.1136,19.47,LDAM,26.56,19.84,6.57,17.62,22.81,15.62,21.16,17.65
10,0.0009997557473810372,1.0929,33.17,LDAM,37.89,38.76,27.58,27.12,36.16,28.96,29.42,29.41
11,0.000999618372939158,1.0808,46.58,LDAM,45.02,53.49,43.19,42.28,48.19,45.62,45.87,41.18
12,0.0009994504881061753,1.0573,54.85,LDAM,49.14,62.19,51.63,53.08,55.25,52.08,58.02,41.18
13,0.0009992521032380164,1.0543,59.75,LDAM,51.97,67.05,58.31,59.23,59.21,56.25,64.05,47.06
14,0.0009990232305719944,1.0453,61.83,LDAM,52.19,70.47,61.74,60.95,61.04,56.67,66.53,52.94
15,0.0009987638842260537,1.0360,62.99,LDAM,52.06,72.58,63.24,61.31,62.38,58.12,68.93,52.94
16,0.0009984740801978985,1.0281,62.47,LDAM,51.66,73.45,63.13,59.23,62.07,58.75,68.43,47.06
17,0.000998153836364006,1.0144,61.49,LDAM,50.38,73.79,62.81,56.29,61.61,57.50,67.93,47.06
18,0.0009978031724785245,1.0097,61.32,LDAM,49.00,76.42,64.17,53.59,61.90,56.46,67.27,41.18
19,0.0009974221101720546,1.0127,61.42,LDAM,47.63,78.22,66.06,51.32,62.72,55.00,67.52,41.18
20,0.000997010672950314,0.9916,60.78,LDAM,45.82,77.55,67.02,49.09,62.79,52.71,68.26,41.18
21,0.0009965688861926887,0.9959,59.76,LDAM,44.36,76.73,67.02,46.71,62.33,51.88,67.44,41.18
22,0.0009960967771506667,0.9971,58.55,LDAM,42.98,75.89,66.56,44.19,61.48,51.04,67.02,41.18
23,0.0009955943749461575,0.9928,57.89,LDAM,42.63,75.50,66.52,42.66,60.93,50.62,66.78,41.18
24,0.000995061710569696,0.9870,57.08,LDAM,41.83,75.08,66.35,41.32,59.91,49.58,67.36,41.18
25,0.0009944988168785298,0.9833,56.91,LDAM,42.14,75.02,66.38,41.25,59.42,49.58,67.11,41.18
26,0.0009939057285945933,0.9780,57.28,LDAM,42.41,75.44,66.52,41.93,59.74,49.58,67.11,41.18
27,0.0009932824823023652,0.9737,57.78,LDAM,43.29,75.67,66.56,42.98,60.07,50.21,67.52,41.18
28,0.000992629116446613,0.9819,58.72,LDAM,44.40,76.71,66.42,44.91,60.82,50.21,67.52,41.18
29,0.0009919456713300204,0.9697,59.88,LDAM,45.55,77.10,66.60,48.17,61.27,51.88,68.35,47.06
30,0.000991232189110701,0.9760,61.27,LDAM,47.41,77.41,67.20,51.42,61.94,52.71,70.41,52.94
31,0.0009904887137995992,0.9643,62.29,LDAM,48.69,77.38,68.02,54.18,62.15,54.38,71.90,52.94
32,0.0009897152912577741,0.9659,63.54,LDAM,49.89,77.46,68.74,57.86,62.53,55.62,72.98,52.94
33,0.0009889119691935714,0.9644,64.89,LDAM,51.31,77.63,69.60,61.42,63.07,56.46,74.46,52.94
34,0.00098807879715968,0.9545,66.61,LDAM,53.87,77.72,70.38,65.36,64.03,58.96,76.36,52.94
35,0.0009872158265500754,0.9598,67.80,LDAM,55.29,78.11,71.35,68.30,64.33,61.25,77.85,52.94
36,0.00098632311059685,0.9498,68.90,LDAM,56.93,77.97,71.81,71.32,64.87,62.08,78.35,52.94
37,0.0009854007043669285,0.9512,69.95,LDAM,57.68,77.63,72.45,74.18,65.65,61.88,79.09,52.94
38,0.0009844486647586723,0.9470,71.31,LDAM,59.72,78.11,73.38,76.97,66.36,63.75,80.41,52.94
39,0.000983467050498369,0.9431,72.72,LDAM,61.66,77.88,74.85,79.77,67.40,65.62,81.57,52.94
40,0.00098245592213661,0.9384,74.11,LDAM,63.39,78.39,75.67,82.63,68.36,67.92,82.23,52.94
41,0.0009814153420445552,0.9419,75.23,LDAM,64.94,78.64,75.96,85.08,69.10,68.96,83.64,52.94
42,0.0009803453744100868,0.9470,76.18,LDAM,66.49,78.36,76.38,86.95,70.02,68.54,84.63,58.82
43,0.000979246085233848,0.9398,76.97,LDAM,67.51,78.64,76.81,88.28,70.73,70.21,85.04,58.82
44,0.0009781175423251734,0.9337,77.52,LDAM,68.26,78.92,77.13,89.24,71.20,70.83,85.29,58.82
45,0.0009769598152979055,0.9369,78.17,LDAM,69.28,79.15,77.24,90.36,71.83,71.25,85.79,58.82
