Epoch,LR,Train Loss,Global Val Acc,AffectNet Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
1,1e-06,1.7654,27.75,14.08,41.29,38.19,17.91,27.61,23.96,37.60,17.65
2,2.595e-05,1.7538,32.35,17.71,51.56,45.12,18.42,32.78,20.42,40.17,23.53
3,5.09e-05,1.7406,38.26,23.86,63.26,54.13,22.12,37.82,18.12,41.16,23.53
4,7.585e-05,1.7071,39.11,26.34,63.82,53.88,26.40,36.93,22.71,37.52,17.65
5,0.0001008,1.6748,38.16,28.20,62.36,53.38,26.05,35.06,21.04,35.79,23.53
6,0.00012575,1.6462,37.07,29.13,60.40,51.80,26.21,33.33,20.21,33.14,29.41
7,0.0001507,1.6148,36.76,29.39,59.19,51.45,26.99,32.66,19.79,32.15,23.53
8,0.00017565,1.6002,37.20,30.41,59.16,51.95,28.70,32.51,19.58,31.32,29.41
9,0.0002006,1.5779,38.72,31.65,60.45,53.09,32.02,33.26,20.42,32.31,29.41
10,0.00022555,1.5476,41.05,34.26,62.14,54.84,37.18,34.41,20.62,33.39,29.41
11,0.0002505,1.5062,43.82,35.90,64.41,56.31,43.05,35.81,24.17,37.93,29.41
12,0.00027545,1.4670,46.84,38.38,65.96,57.38,48.24,38.41,28.96,43.22,29.41
13,0.00030040000000000004,1.4345,50.07,40.02,67.78,59.49,53.98,41.00,33.33,48.60,23.53
14,0.00032535,1.4150,52.55,42.63,68.85,60.06,58.37,43.14,36.46,52.81,23.53
15,0.0003503,1.3909,55.15,45.95,69.66,61.09,63.10,45.20,39.79,56.53,29.41
16,0.00037525000000000004,1.3863,57.60,49.18,70.17,62.31,66.87,47.50,45.21,59.83,29.41
17,0.0004002,1.3613,59.92,51.04,70.75,63.67,70.84,49.80,49.38,62.07,35.29
18,0.00042515,1.3531,62.50,52.72,71.43,65.27,74.09,53.10,53.54,65.37,35.29
19,0.00045010000000000004,1.3343,64.87,54.45,71.91,66.56,77.52,55.83,57.50,69.01,35.29
